date,log_return,overnight_return,momentum_5d,momentum_20d,volatility_20d,volume_change,volume_20d_avg,spy_return,soxx_return,ief_return,trends_zscore_30d,trends_momentum_7d,trends_spike,target_direction,target_next_return
2021-02-04,0.0110335801210401,0.0007396449704141,0.0094364188474702,0.0040356750379515,0.0230644778939237,-0.276463886203563,227687.95,0.0111977420669189,0.0066381715953439,-0.0002539897571119,0.4590281350193009,-0.1333333333333333,0,0,-0.0051338579938519
2021-02-05,-0.0051338579938519,0.0036576444769568,0.0094861588827307,0.0009651376127264,0.0195660882923664,-0.2152554100159854,219188.3,0.0038510793127304,-0.006490176922882,-0.0022039510489417,0.1972452734233971,-0.0588235294117647,0,1,0.0599323407226738
2021-02-08,0.0599323407226738,0.0095588235294118,0.0175030310675631,0.0041495130369763,0.0235370360262889,1.7470888692955522,226030.85,0.007299490092255,0.0299574167919439,0.0004242141496612,0.564867702062469,0.0612244897959182,0,0,-0.0125437184785302
2021-02-09,-0.0125437184785302,-0.0069252077562326,0.0102143735320879,0.0022959557132391,0.0233063581774887,-0.4192984300726582,221721.1,-0.0005891770903703,-0.0036689368878567,0.0006783685497149,1.0189707927792724,0.1764705882352941,0,1,0.0344624041861765
2021-02-10,0.0344624041861765,0.0126227208976156,0.0175501497115016,0.0045356856844082,0.024165463287957,1.1088881053574493,232521.0,-0.0004357019355145,0.0023036508639755,0.0025397914092744,0.9935913907662816,0.1568627450980393,0,1,0.0333142066839844
2021-02-11,0.0333142066839844,0.0155826558265582,0.0220062750240905,0.0060162791836807,0.0250043031672333,-0.0716349792704555,242911.75,0.0017928495735616,0.0338632009486909,-0.0006766472388763,1.883184236052299,0.4038461538461539,0,0,-0.0198550533099796
2021-02-12,-0.0198550533099796,-0.0137614678899081,0.0190620359608649,0.0062581571477003,0.0247133120665946,-0.1145756013034833,247041.6,0.0046209505374608,0.0103040225656745,-0.0033052278066628,1.8088307374564083,0.5416666666666672,0,1,0.0250838233927789
2021-02-16,0.0250838233927789,0.0073529411764705,0.0120923324948859,0.0087782387165537,0.0238796940670673,-0.0588202957506459,253668.15,-0.0007134485345688,0.008904168418575,-0.0074128060652591,0.1423236602575794,-0.2296296296296296,0,0,-0.028431667162463
2021-02-17,-0.028431667162463,-0.0110821382007822,0.0089147427580994,0.0067772745998112,0.0252682069194125,-0.3536855323871269,255491.6,0.000203894383416,-0.01851331221263,0.0009402915596417,-0.1257640310210823,-0.2768361581920904,0,0,-0.0053799726268063
2021-02-18,-0.0053799726268063,-0.0120724346076458,0.0009462673955028,0.0051819382517994,0.0249610413145613,-0.2018652484512744,253884.0,-0.004213758389622,-0.0101934835021247,-8.544452519405402e-05,-0.0130375212416304,-0.39117199391172,0,1,0.0067204554012583
2021-02-19,0.0067204554012583,0.0121375590020229,-0.0043724828610423,0.0037182808894671,0.0238947038850301,0.4313163794469983,252654.65,-0.0017930332672637,0.0233052578473818,-0.0042815616015028,0.0420097906674757,-0.3873873873873876,0,0,-0.0389260479310209
2021-02-22,-0.0389260479310209,-0.0100468854655057,-0.0081866817852506,0.0023160535022927,0.0255613204311132,-0.018685082785517,249693.1,-0.0075660456663316,-0.0372262684434334,-0.0015458608368712,0.0676944144948555,0.8518518518518521,0,0,-0.0154389031516513
2021-02-23,-0.0154389031516513,-0.0194986072423397,-0.0162912270941366,0.0016902004866284,0.0258479460949512,0.3875121927625373,256717.8,0.0006456028217577,-0.006783075523648,0.0009449766606731,0.5250523055467167,0.1346153846153845,0,1,0.025140988958102
2021-02-24,0.025140988958102,-0.0042432814710042,-0.0055766958700236,0.0038328819445691,0.0259309382437415,-0.1324980609402188,264591.4,0.0112949142043135,0.0327713340064131,-0.0015467907182986,1.6524127654767051,0.6666666666666665,0,0,-0.0863846141988205
2021-02-25,-0.0863846141988205,-0.0317241379310345,-0.0217776241844264,0.0014493768436626,0.0316154122458496,1.124171209665537,281594.4,-0.0244699245017643,-0.0591220765169391,-0.0135066988393649,2.4136262881299144,1.0,1,1,0.0310905870700311
2021-02-26,0.0310905870700311,0.0345864661654134,-0.0169035978506719,0.0025416532899616,0.0322695219396595,-0.3032094927459694,295252.05,-0.0051927732735525,0.0287836596318669,0.0088519192943823,1.5061823760062163,0.6470588235294119,0,1,0.0094306103356082
2021-03-01,0.0094306103356082,0.0116618075801749,-0.007232266197346,0.0032823117152497,0.0322480615344977,0.0100339366515838,304404.45,0.0238514814215267,0.0231714238161986,-0.0022489413509583,0.1282403406740095,0.0799999999999998,0,0,-0.0330305256764817
2021-03-02,-0.0330305256764817,0.0043321299638989,-0.0107505907023121,0.0006383864415,0.0329778282496879,-0.3605720877619363,309294.4,-0.0077063230127951,-0.0289772674550659,0.002335338171609,-0.2854859464225206,-0.2203389830508474,0,0,-0.0458095360312942
2021-03-03,-0.0458095360312942,0.0029850746268656,-0.0249406957001914,-0.0028470688200069,0.0340561184520808,0.1890437639904296,317568.15,-0.0132045203771563,-0.0298420714577547,-0.0052839137186798,-0.0849692562245729,-0.3749999999999999,0,0,-0.034170984521175
2021-03-04,-0.034170984521175,0.0007812499999999,-0.0144979697646623,-0.004444794210521,0.0347671202782449,0.3381394581472359,328692.65,-0.0123720532962472,-0.0517533710491152,-0.0048755102672317,0.4833689371099462,-0.3800000000000001,0,1,0.0072493269549107
2021-03-05,0.0072493269549107,0.0129345189975747,-0.0192662217876864,-0.0046340068688275,0.0346886579110139,0.3295141809150994,350503.45,0.0182535774850764,0.0302680964856888,-0.001397380140049,0.6570990966428438,-0.2142857142857144,0,0,-0.0732440412144579
2021-03-08,-0.0732440412144579,-0.0016051364365972,-0.0358011520976996,-0.0080395160298578,0.0379319986253266,-0.0157153550113601,373644.15,-0.005409727157641,-0.0523492712143399,-0.0041161331486894,0.2818433902456337,0.0555555555555555,0,1,0.0780478935271032
2021-03-09,0.0780478935271032,0.0474956822107081,-0.0135854682569826,-0.0071337383896363,0.0398103094196615,-0.1962303449993102,379460.4,0.0136637257924433,0.0560503215510263,0.0049023997335547,0.8145058501004897,0.5217391304347827,0,0,-0.0048038523126452
2021-03-10,-0.0048038523126452,0.0255591054313099,-0.0053843315132528,-0.0067467450813421,0.0397925668765377,-0.4568439516643886,381941.05,0.00677532056632,-0.016495376109328,0.002180835687916,0.1692372369484354,0.1199999999999998,0,1,0.041656317323201
2021-03-11,0.041656317323201,0.0385232744783305,0.0097811288556223,-0.0063870494244908,0.0402149448793441,0.1842120475241724,375175.3,0.0100395524633113,0.0390821512195604,-0.000522966977839,-0.1733882274869295,-0.2258064516129031,0,0,-0.0100581118730348
2021-03-12,-0.0100581118730348,-0.0261739799846035,0.0063196410900332,-0.0085556653523418,0.0391157681917508,-0.2383481401933027,366332.75,0.0014731657943506,-0.008809977396857,-0.0072625773128113,-0.100298431206462,-0.2575757575757573,0,1,0.0260951107828518
2021-03-15,0.0260951107828518,0.0,0.0261874714894952,-0.0062581571477002,0.0397612958746059,0.0141680339075744,360009.95,0.0061990204204741,0.0212625262367537,0.001316424780922,-0.0922625786842969,-0.2105263157894735,0,1,0.0067950431328288
2021-03-16,0.0067950431328288,0.0143939393939394,0.0119369014106403,-0.0071725961606977,0.0392090179356773,0.2947877521443858,358255.75,-0.0012872450950226,0.0122993881534055,-0.0002631463547485,-0.1228624555928624,-0.3571428571428572,0,1,0.0045045121211045
2021-03-17,0.0045045121211045,-0.0180586907449208,0.0137985742973902,-0.0055257871965194,0.0389600077169572,-0.1190000520602858,360728.35,0.00330312079344,0.0109415758860449,-0.0014046179115619,-0.2023085384805161,-0.2142857142857143,0,0,-0.0483408269342824
2021-03-18,-0.0483408269342824,-0.0157303370786516,-0.0042008545541064,-0.0076738299118932,0.0401186309524758,0.0807385056303853,366527.75,-0.0146058330963535,-0.0419042537305812,-0.0063453107938355,-0.3318127002110942,-0.1458333333333332,0,1,0.010946160897497
2021-03-19,0.010946160897497,0.0015723270440251,-3.053113317719181e-17,-0.0074625446370812,0.0402094530776273,-0.2781829241620646,364447.7,-0.0050961070096689,0.0131886236577198,-0.0006190581670176,-0.6022016424321708,-0.2857142857142857,0,1,0.0253372479197498
2021-03-22,0.0253372479197498,0.0054432348367029,-0.0001515725726204,-0.0042493798445427,0.0401304373340365,-0.0190179953697785,362403.0,0.0079274165315578,0.0203593339032264,0.0031796529173795,-0.3313549082693545,-0.1555555555555555,0,0,-0.0091394390930926
2021-03-23,-0.0091394390930926,0.0045489006823351,-0.0033384690178047,-0.0039344066416148,0.0400626555975579,0.0755728653886991,356334.2,-0.0076707100739806,-0.0261585793725301,0.0049261183360557,-0.3132411972091123,-0.1333333333333333,0,0,-0.0334531389174192
2021-03-24,-0.0334531389174192,0.0061208875286916,-0.0109299992255094,-0.0068641130353908,0.0399668444377127,0.0479666880549933,353080.45,-0.0052498962515766,-0.0139375078437818,0.0011401009785705,-0.2511070691964476,-0.090909090909091,0,0,-0.0087406198107344
2021-03-25,-0.0087406198107344,-0.0110759493670886,-0.0030099578007998,-0.0029819133159865,0.0353391136449672,0.0923302205495113,334119.45,0.0053012296362547,-0.0001493205915868,-0.0012278549165847,-0.4927589552002151,-0.1707317073170733,0,1,0.0252180424332518
2021-03-26,0.0252180424332518,0.0007980845969672,-0.0001555814936489,-0.0032755405478255,0.0350644399219078,0.2250183249254262,327645.6,0.0159392298754322,0.0488861585378358,-0.0030762494046424,-0.3005685979717921,0.0571428571428569,0,1,0.0077519768043179
2021-03-29,0.0077519768043179,-0.003112840466926,-0.0036726357167353,-0.00335947222439,0.0350344213985235,-0.3694160109815917,315177.45,-0.0003284362673687,-0.0185150606615372,-0.0034390051970329,-0.1829547185714241,-0.0789473684210526,0,0,-0.0061967665375114
2021-03-30,-0.0061967665375114,-0.0115830115830114,-0.003084101205619,-0.0020177842674415,0.0343453660909017,-0.2698303158236583,308099.1,-0.0022261019539235,-0.0021027452188218,-0.0009721179679433,-0.2146283423176087,-0.1025641025641025,0,1,0.0366173632382233
2021-03-31,0.0366173632382233,0.0116550116550116,0.0109299992255094,0.0021035606960343,0.0337543187728165,0.6900191805192639,303287.05,0.0034887283842923,0.0259364015472414,-0.001415678877384,-0.1788955609134579,-0.1249999999999998,0,1,0.0346004334932653
2021-04-01,0.0346004334932653,0.0164794007490637,0.0195982098863093,0.0055421315967563,0.0333651688809402,0.0352979394457761,293165.5,0.010768311485787,0.0361175446981906,0.0037118911377343,0.2619957979043246,0.2352941176470588,0,1,0.0115109184661402
