observations,auc,accuracy,balanced_accuracy,precision,recall,f1,brier,trade_rate,mean_strategy_return,strategy_sharpe,max_drawdown,accuracy_binom_pvalue_vs_0p50,strategy_mean_ttest_pvalue_gt_0,strategy_mean_permutation_pvalue,confusion_matrix_tn_fp_fn_tp,fold,feature_set,model,feature_count,val_auc,val_accuracy,threshold,youden_j
63,0.5709876543209877,0.4444444444444444,0.5,0.5714285714285714,0.1111111111111111,0.18604651162790697,0.2447737945993148,0.1111111111111111,0.00171208239688047,1.9874429532540685,-0.05099948537469923,0.8432484733517736,0.16403061275294578,,"[[24, 3], [32, 4]]",3,all_features,random_forest,16,0.5665280665280666,0.5238095238095238,0.5627160295890733,0.1377338877338869
63,0.48868312757201643,0.5079365079365079,0.5509259259259259,0.6923076923076923,0.25,0.3673469387755102,,0.20634920634920634,0.0029365100742035567,2.3980261385413133,-0.09369902363997884,0.5,0.11939719936903341,,"[[23, 4], [27, 9]]",3,all_features,svm_linear,16,0.5514553014553014,0.5555555555555556,0.37295119432092955,0.16891891891891814
63,0.5,0.5555555555555556,0.5,0.5555555555555556,1.0,0.7142857142857143,0.4444444444444444,1.0,0.0017586526055858689,0.7170114601070471,-0.21797294465930495,0.22498126814511127,0.3616553040728968,,"[[0, 28], [0, 35]]",4,all_features,majority_class,16,0.5,0.5634920634920635,,
63,0.39591836734693875,0.5396825396825397,0.4964285714285714,0.5535714285714286,0.8857142857142857,0.6813186813186813,0.27749444305344806,0.8888888888888888,0.001125461848036758,0.4693787567104614,-0.23393351665391826,0.3073275078827309,0.4083343023364263,,"[[3, 25], [4, 31]]",4,all_features,logistic_regression,16,0.5113956466069143,0.5873015873015873,0.3638670541147663,0.06274007682458682
63,0.49081632653061225,0.5079365079365079,0.525,0.5909090909090909,0.37142857142857144,0.45614035087719296,0.2623103923316427,0.3492063492063492,0.0022428574150174176,1.3967369592379437,-0.15925503500917637,0.5,0.2455098766598175,,"[[19, 9], [22, 13]]",4,all_features,random_forest,16,0.5498079385403329,0.5952380952380952,0.4808831043546883,0.15467349551856613
63,0.3877551020408163,0.36507936507936506,0.4107142857142857,0.0,0.0,0.0,,0.07936507936507936,-0.002489678416827297,-3.3358895936197737,-0.14315911970000894,0.9887125136633714,0.9484755407626736,,"[[23, 5], [35, 0]]",4,all_features,svm_linear,16,0.5224071702944942,0.5158730158730159,0.1849552566862384,0.08348271446862987
63,0.5,0.49206349206349204,0.5,0.49206349206349204,1.0,0.6595744680851063,0.5079365079365079,1.0,0.0010106093394830933,0.6443768150186492,-0.14101644185650286,0.5993467537479669,0.37516504333537326,,"[[0, 32], [0, 31]]",5,all_features,majority_class,16,0.5,0.5634920634920635,,
63,0.6411290322580644,0.47619047619047616,0.4692540322580645,0.25,0.03225806451612903,0.05714285714285714,0.24464855235288355,0.06349206349206349,-0.0008457205057810046,-2.6319484788574297,-0.05701803749730261,0.6926724921172691,0.9017247786310083,,"[[29, 3], [30, 1]]",5,all_features,logistic_regression,16,0.4468629961587708,0.47619047619047616,0.5304705261884856,0.054033290653008506
63,0.5131048387096775,0.49206349206349204,0.48941532258064513,0.47619047619047616,0.3225806451612903,0.38461538461538464,0.25180921887455476,0.3333333333333333,0.0003970096514807188,0.41028142623967734,-0.09296346152554036,0.5993467537479669,0.4197029710110157,,"[[21, 11], [21, 10]]",5,all_features,random_forest,16,0.5037131882202305,0.5,0.5300005742241936,0.06350832266325229
63,0.5967741935483871,0.49206349206349204,0.485383064516129,0.4,0.06451612903225806,0.1111111111111111,,0.07936507936507936,-0.0003847396511082697,-0.7411369819495359,-0.07426039805667073,0.5993467537479669,0.6427941144220093,,"[[29, 3], [29, 2]]",5,all_features,svm_linear,16,0.4522407170294494,0.47619047619047616,0.43658412986347306,0.054033290653008506
