observations,auc,accuracy,balanced_accuracy,precision,recall,f1,brier,trade_rate,mean_strategy_return,strategy_sharpe,max_drawdown,accuracy_binom_pvalue_vs_0p50,strategy_mean_ttest_pvalue_gt_0,strategy_mean_permutation_pvalue,confusion_matrix_tn_fp_fn_tp,feature_set,model
567,0.5447158562048753,0.4673721340388007,0.4893713365701492,0.5337423312883436,0.2779552715654952,0.36554621848739494,,0.2874779541446208,-0.00038621586925867733,-0.40311658417542484,-0.5176792391053439,0.944779366134138,0.7270041518824866,0.9820359281437125,"[[178, 76], [226, 87]]",market_macro,svm_linear
567,0.5402757163341803,0.5167548500881834,0.5263075142763705,0.5836909871244635,0.43450479233226835,0.4981684981684982,0.24842731101643914,0.4109347442680776,0.0014908287961599976,1.167526680654918,-0.24968597940474702,0.22486025859817102,0.04035212176003172,0.2554890219560878,"[[157, 97], [177, 136]]",market_macro,random_forest
567,0.5342003974742774,0.455026455026455,0.47373650977333903,0.5111111111111111,0.2939297124600639,0.37322515212981744,0.25414889744963487,0.31746031746031744,-0.00030305754862086664,-0.2624258053186122,-0.6616301102179267,0.9855558551719239,0.6528738288700484,0.9860279441117764,"[[166, 88], [221, 92]]",market_macro,logistic_regression
567,0.5,0.5520282186948854,0.5,0.5520282186948854,1.0,0.7113636363636363,0.4479717813051146,1.0,0.0025929719115751707,1.3395309847713235,-0.41130563243108775,0.007393722986112789,0.022584376680623488,1.0,"[[0, 254], [0, 313]]",market_macro,majority_class
567,0.5410304143291993,0.49206349206349204,0.5002326985484642,0.5523012552301255,0.4217252396166134,0.4782608695652174,0.2487791198050462,0.42151675485008816,0.0016515729349100652,1.3344640769334908,-0.24909501802516398,0.6627242273853559,0.022992588729000774,0.2215568862275449,"[[147, 107], [181, 132]]",market_only,random_forest
567,0.5400241503358405,0.4991181657848324,0.5147857915524138,0.5728643216080402,0.36421725239616615,0.4453125,,0.3509700176366843,0.0017109728831783558,1.7553318086975933,-0.16527818962597274,0.5334637604728818,0.004376811038152785,0.13572854291417166,"[[169, 85], [199, 114]]",market_only,svm_linear
567,0.5395964881386632,0.4656084656084656,0.4885160121757943,0.5316455696202531,0.268370607028754,0.35668789808917195,0.2542266427792621,0.2786596119929453,-0.00018714069910519713,-0.1985514662201078,-0.45803566044939104,0.9535497648418352,0.6169276020488516,0.9560878243512974,"[[180, 74], [229, 84]]",market_only,logistic_regression
567,0.5,0.5520282186948854,0.5,0.5520282186948854,1.0,0.7113636363636363,0.4479717813051146,1.0,0.0025929719115751707,1.3395309847713235,-0.41130563243108775,0.007393722986112789,0.022584376680623488,1.0,"[[0, 254], [0, 313]]",market_only,majority_class
567,0.5447158562048753,0.4673721340388007,0.4893713365701492,0.5337423312883436,0.2779552715654952,0.36554621848739494,,0.2874779541446208,-0.00038621586925867733,-0.40311658417542484,-0.5176792391053439,0.944779366134138,0.7270041518824866,0.9820359281437125,"[[178, 76], [226, 87]]",no_alternative_data,svm_linear
567,0.5402757163341803,0.5167548500881834,0.5263075142763705,0.5836909871244635,0.43450479233226835,0.4981684981684982,0.24842731101643914,0.4109347442680776,0.0014908287961599976,1.167526680654918,-0.24968597940474702,0.22486025859817102,0.04035212176003172,0.2554890219560878,"[[157, 97], [177, 136]]",no_alternative_data,random_forest
567,0.5342003974742774,0.455026455026455,0.47373650977333903,0.5111111111111111,0.2939297124600639,0.37322515212981744,0.25414889744963487,0.31746031746031744,-0.00030305754862086664,-0.2624258053186122,-0.6616301102179267,0.9855558551719239,0.6528738288700484,0.9860279441117764,"[[166, 88], [221, 92]]",no_alternative_data,logistic_regression
567,0.5,0.5520282186948854,0.5,0.5520282186948854,1.0,0.7113636363636363,0.4479717813051146,1.0,0.0025929719115751707,1.3395309847713235,-0.41130563243108775,0.007393722986112789,0.022584376680623488,1.0,"[[0, 254], [0, 313]]",no_alternative_data,majority_class
567,0.5,0.5520282186948854,0.5,0.5520282186948854,1.0,0.7113636363636363,0.4479717813051146,1.0,0.0025929719115751707,1.3395309847713235,-0.41130563243108775,0.007393722986112789,0.022584376680623488,1.0,"[[0, 254], [0, 313]]",sentiment_only,majority_class
567,0.46048527081079715,0.455026455026455,0.4473912605972177,0.5062111801242236,0.5207667731629393,0.5133858267716536,0.25555186184872086,0.5679012345679012,-2.303137825015198e-05,-0.015055754163058911,-0.6603518740054702,0.9855558551719239,0.5089968770287184,0.9900199600798403,"[[95, 159], [150, 163]]",sentiment_only,random_forest
567,0.46032175291187644,0.4708994708994709,0.4899688058162059,0.5363128491620112,0.30670926517571884,0.3902439024390244,0.2515632496215173,0.31569664902998235,0.00022875328656601522,0.19071838163040536,-0.43741565453760123,0.9233661061087504,0.38755829501374767,0.7984031936127745,"[[171, 83], [217, 96]]",sentiment_only,logistic_regression
567,0.45181882216799574,0.49382716049382713,0.49997484340016607,0.552,0.44089456869009586,0.49023090586145646,,0.4409171075837742,0.001506783841404177,1.1267598402111174,-0.4073997386750584,0.6315360956154019,0.04591878858874234,0.31137724550898205,"[[142, 112], [175, 138]]",sentiment_only,svm_linear
