trial,val_auc,val_acc,threshold,youden_j,best_epoch,best_val_auc_in_training,best_val_loss_in_training,seconds,lookback,lstm_units,dropout,recurrent_dropout,lr,batch,dense_units,val_cm_tn_fp_fn_tp
11,0.5333333333333333,0.5476190476190477,0.49999999999999994,0.05454545454545523,1,0.5354798436164856,0.6900523900985718,9.68397307395935,105,64,0.1,0.25,0.0003,64,16,"[[6, 54], [3, 63]]"
12,0.48005050505050506,0.5238095238095238,0.05,1.5543122344752192e-15,1,0.48106062412261963,0.7113454937934875,24.704154014587402,75,48,0.02,0.25,0.0001,16,32,"[[0, 60], [0, 66]]"
13,0.4537878787878788,0.5158730158730159,0.3,0.03181818181818208,19,0.4570707082748413,0.7518635988235474,37.20842385292053,60,48,0.05,0.2,0.0003,32,16,"[[31, 29], [32, 34]]"
14,0.5325757575757575,0.5476190476190477,0.39999999999999997,0.07878787878787863,20,0.5374999642372131,0.7002977132797241,57.475650787353516,45,32,0.08,0.25,0.0003,16,32,"[[22, 38], [19, 47]]"
15,0.5595959595959596,0.5238095238095238,0.49999999999999994,0.07272727272727195,5,0.5630050897598267,0.6873871088027954,23.34501338005066,90,48,0.05,0.15,0.0003,32,64,"[[48, 12], [48, 18]]"
16,0.5159090909090909,0.5238095238095238,0.49999999999999994,0.003030303030304493,1,0.5209596157073975,0.6929509043693542,8.195010900497437,75,64,0.05,0.2,0.0003,64,16,"[[2, 58], [2, 64]]"
17,0.4803030303030303,0.5396825396825397,0.35,0.05303030303030343,12,0.4888888895511627,0.7420040369033813,41.657410860061646,105,48,0.05,0.15,0.0001,32,64,"[[15, 45], [13, 53]]"
18,0.5164141414141414,0.5317460317460317,0.49999999999999994,0.08030303030302954,1,0.5165404081344604,0.6940900087356567,9.013999938964844,90,64,0.08,0.15,0.0001,64,64,"[[43, 17], [42, 24]]"
19,0.4823232323232324,0.5,0.5499999999999999,0.043939393939393306,1,0.4823232591152191,0.6933830976486206,25.093941688537598,75,64,0.05,0.25,0.0002,16,64,"[[59, 1], [62, 4]]"
20,0.4843434343434343,0.48412698412698413,0.39999999999999997,0.012121212121211991,1,0.4796717166900635,0.7470346093177795,29.132238388061523,90,48,0.02,0.25,0.0003,16,16,"[[58, 2], [63, 3]]"
21,0.5601010101010101,0.49206349206349204,0.44999999999999996,0.016666666666666663,1,0.5689393281936646,0.7058174014091492,28.663745641708374,90,48,0.08,0.2,0.0002,16,64,"[[51, 9], [55, 11]]"
22,0.5361111111111111,0.5555555555555556,0.25,0.08787878787878767,21,0.536237359046936,0.7147520780563354,92.97832560539246,75,64,0.1,0.25,0.0002,16,64,"[[18, 42], [14, 52]]"
23,0.5181818181818182,0.5396825396825397,0.5499999999999999,0.10151515151515036,50,0.5198231935501099,0.6977444887161255,216.54181838035583,105,48,0.05,0.2,0.0003,16,64,"[[47, 13], [45, 21]]"
24,0.3893939393939394,0.5238095238095238,0.05,1.5543122344752192e-15,6,0.40732327103614807,0.7089707851409912,13.942085266113281,90,16,0.02,0.2,0.0002,64,32,"[[0, 60], [0, 66]]"
25,0.5335858585858586,0.5555555555555556,0.5499999999999999,0.12272727272727141,1,0.5373737215995789,0.6901593804359436,17.349846124649048,105,64,0.02,0.25,0.0003,32,16,"[[41, 19], [37, 29]]"
26,0.4616161616161616,0.5238095238095238,0.05,1.5543122344752192e-15,29,0.4648990035057068,0.7128969430923462,53.49261546134949,60,64,0.05,0.2,0.0001,32,16,"[[0, 60], [0, 66]]"
27,0.5507575757575758,0.5396825396825397,0.5499999999999999,0.07121212121212106,2,0.5455808639526367,0.6879085302352905,23.161566734313965,60,48,0.08,0.2,0.0003,16,64,"[[27, 33], [25, 41]]"
28,0.5383838383838384,0.5079365079365079,0.49999999999999994,0.022727272727273096,1,0.5450757741928101,0.6921563148498535,20.577916145324707,60,16,0.1,0.2,0.0001,16,64,"[[35, 25], [37, 29]]"
29,0.4431818181818182,0.5238095238095238,0.05,1.5543122344752192e-15,16,0.44709596037864685,0.7547142505645752,17.658416986465454,60,64,0.1,0.2,0.0003,64,16,"[[0, 60], [0, 66]]"
30,0.51489898989899,0.5476190476190477,0.49999999999999994,0.06515151515151552,2,0.5223484635353088,0.6905127763748169,5.805713176727295,45,32,0.05,0.15,0.0001,64,16,"[[13, 47], [10, 56]]"
31,0.48636363636363633,0.5238095238095238,0.35,0.03636363636363682,41,0.48800504207611084,0.7044749855995178,52.66016888618469,45,64,0.1,0.25,0.0002,32,32,"[[24, 36], [24, 42]]"
32,0.5340909090909091,0.5555555555555556,0.44999999999999996,0.07727272727272749,1,0.5363636016845703,0.691480278968811,6.046703815460205,45,64,0.02,0.15,0.0001,64,32,"[[11, 49], [7, 59]]"
33,0.5103535353535353,0.48412698412698413,0.44999999999999996,0.013636363636363457,12,0.508838415145874,0.709068775177002,40.56188726425171,45,48,0.05,0.15,0.0003,16,64,"[[59, 1], [64, 2]]"
34,0.44318181818181823,0.5238095238095238,0.05,1.5543122344752192e-15,6,0.4436868727207184,0.7062222361564636,27.228018760681152,45,16,0.1,0.25,0.0003,16,16,"[[0, 60], [0, 66]]"
35,0.5287878787878788,0.5317460317460317,0.6,0.0484848484848488,1,0.5314394235610962,0.695490837097168,9.222522497177124,45,64,0.1,0.2,0.0003,32,16,"[[22, 38], [21, 45]]"
36,0.4926767676767677,0.5396825396825397,0.25,0.034848484848485795,29,0.5003787875175476,0.7367882132530212,39.51382875442505,90,32,0.02,0.15,0.0003,64,16,"[[3, 57], [1, 65]]"
37,0.5497474747474748,0.5714285714285714,0.5499999999999999,0.1454545454545439,7,0.5549241900444031,0.6916153430938721,11.37847089767456,60,48,0.1,0.15,0.0001,64,32,"[[36, 24], [30, 36]]"
38,0.5128787878787879,0.5634920634920635,0.44999999999999996,0.09848484848484829,1,0.5082070827484131,0.698008120059967,11.339563846588135,60,16,0.02,0.25,0.0002,32,64,"[[15, 45], [10, 56]]"
39,0.4843434343434343,0.49206349206349204,0.44999999999999996,0.02878787878787838,2,0.48434340953826904,0.7313554883003235,20.583722352981567,105,48,0.02,0.2,0.0002,32,16,"[[59, 1], [63, 3]]"
40,0.5398989898989899,0.5476190476190477,0.39999999999999997,0.10303030303030208,6,0.538762629032135,0.7150478959083557,41.83137488365173,75,16,0.08,0.15,0.0003,16,64,"[[38, 22], [35, 31]]"
41,0.49469696969696975,0.5079365079365079,0.5499999999999999,0.018181818181818687,13,0.49558085203170776,0.7000876665115356,22.1881844997406,45,16,0.1,0.25,0.0002,32,32,"[[32, 28], [34, 32]]"
42,0.4108585858585859,0.5079365079365079,0.5499999999999999,0.056060606060605304,1,0.4162878692150116,0.7033823132514954,28.122013568878174,90,32,0.1,0.25,0.0001,16,16,"[[57, 3], [59, 7]]"
43,0.4767676767676768,0.5238095238095238,0.05,1.5543122344752192e-15,2,0.48345959186553955,0.6988215446472168,5.847872018814087,45,64,0.02,0.25,0.0003,64,16,"[[0, 60], [0, 66]]"
44,0.477020202020202,0.5238095238095238,0.05,1.5543122344752192e-15,1,0.47361111640930176,0.6963734030723572,20.550833463668823,60,64,0.02,0.15,0.0003,16,16,"[[0, 60], [0, 66]]"
45,0.49469696969696975,0.5079365079365079,0.65,0.05151515151515092,1,0.49318182468414307,0.7052085399627686,8.662948608398438,90,16,0.08,0.15,0.0003,64,32,"[[54, 6], [56, 10]]"
46,0.5411616161616162,0.5317460317460317,0.6,0.05757575757575761,1,0.5449495315551758,0.6993939876556396,24.767348527908325,75,48,0.1,0.2,0.0002,16,16,"[[28, 32], [27, 39]]"
47,0.46161616161616165,0.5396825396825397,0.44999999999999996,0.033333333333334325,1,0.45883840322494507,0.6953502297401428,26.258595943450928,75,48,0.05,0.15,0.0003,16,64,"[[2, 58], [0, 66]]"
48,0.5797979797979798,0.5238095238095238,0.6,0.08030303030302928,1,0.5845959186553955,0.6880840063095093,16.52811288833618,45,64,0.1,0.15,0.0002,16,64,"[[53, 7], [53, 13]]"
49,0.5252525252525253,0.5555555555555556,0.44999999999999996,0.07272727272727308,1,0.5251262784004211,0.692575991153717,5.290523052215576,45,64,0.1,0.15,0.0002,64,64,"[[8, 52], [4, 62]]"
50,0.48636363636363633,0.49206349206349204,0.49999999999999994,0.019696969696969588,1,0.4862373471260071,0.706045389175415,9.609785079956055,105,64,0.05,0.15,0.0002,64,64,"[[53, 7], [57, 9]]"
