observations,auc,accuracy,balanced_accuracy,precision,recall,f1,brier,trade_rate,mean_strategy_return,strategy_sharpe,max_drawdown,accuracy_binom_pvalue_vs_0p50,strategy_mean_ttest_pvalue_gt_0,strategy_mean_permutation_pvalue,confusion_matrix_tn_fp_fn_tp,fold,feature_set,model,feature_count,val_auc,val_accuracy,threshold,youden_j
63,0.503024193548387,0.42857142857142855,0.4339717741935484,0.3,0.09375,0.14285714285714285,0.25251427412831934,0.15873015873015872,-0.0014994762709761062,-1.9040590764444643,-0.10584325693528696,0.8963160500715729,0.8256954470124219,,"[[24, 7], [29, 3]]",4,market_only,logistic_regression,7,0.5747971602434077,0.5873015873015873,0.5687929580256343,0.13640973630831355
63,0.4889112903225807,0.47619047619047616,0.4793346774193548,0.47368421052631576,0.28125,0.35294117647058826,0.2520077146234056,0.30158730158730157,-0.0006801712823906377,-0.5445201869357742,-0.10553297905377623,0.6926724921172691,0.6060062434144264,,"[[21, 10], [23, 9]]",4,market_only,random_forest,7,0.6082657200811359,0.5714285714285714,0.5456192121160559,0.175456389452328
63,0.4969758064516128,0.4603174603174603,0.46774193548387094,0.0,0.0,0.0,,0.031746031746031744,-0.000741372253385716,-2.525475972398916,-0.04631708390953648,0.7750187318548887,0.8924860496945488,,"[[29, 2], [32, 0]]",4,market_only,svm_linear,7,0.5727687626774848,0.5634920634920635,1.0093626183687863,0.1201825557809299
63,0.5,0.5555555555555556,0.5,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,,0.0,0.22498126814511127,,,"[[35, 0], [28, 0]]",5,market_only,majority_class,7,0.5,0.5079365079365079,,
63,0.41938775510204085,0.4126984126984127,0.4642857142857143,0.4262295081967213,0.9285714285714286,0.5842696629213483,0.2579046916657506,0.9682539682539683,-0.004245805252932949,-2.593466825269718,-0.340186443148941,0.9350410384887238,0.8984568818878819,,"[[0, 35], [2, 26]]",5,market_only,logistic_regression,7,0.515625,0.5476190476190477,0.5020900075529381,0.10786290322580416
63,0.5561224489795918,0.4603174603174603,0.5071428571428571,0.4482758620689655,0.9285714285714286,0.6046511627906976,0.2535998777217673,0.9206349206349206,-0.0017007735057510936,-1.2160945071795246,-0.2286507113197308,0.7750187318548887,0.7257127148025042,,"[[3, 32], [2, 26]]",5,market_only,random_forest,7,0.4876512096774194,0.5317460317460317,0.48636002755296237,0.0761088709677401
63,0.45204081632653065,0.47619047619047616,0.4392857142857143,0.2727272727272727,0.10714285714285714,0.15384615384615385,,0.1746031746031746,-0.0027508951092780573,-3.658896566972811,-0.19723162645268832,0.6926724921172691,0.9628092324356318,,"[[27, 8], [25, 3]]",5,market_only,svm_linear,7,0.5120967741935483,0.5634920634920635,0.9412687226741753,0.11441532258064327
63,0.5,0.5079365079365079,0.5,0.0,0.0,0.0,0.49206349206349204,0.0,0.0,,0.0,0.5,,,"[[32, 0], [31, 0]]",6,market_only,majority_class,7,0.5,0.5238095238095238,,
63,0.46875,0.4444444444444444,0.4495967741935484,0.46153846153846156,0.7741935483870968,0.5783132530120482,0.2552473889446308,0.8253968253968254,-0.007402302267003262,-3.968810896093245,-0.3879664342616418,0.8432484733517736,0.9732627150258312,,"[[4, 28], [7, 24]]",6,market_only,logistic_regression,7,0.4674242424242424,0.5,0.48798573691757674,0.042424242424240255
63,0.625,0.5555555555555556,0.5514112903225806,0.6,0.2903225806451613,0.391304347826087,0.24548705282271255,0.23809523809523808,-0.0004505651308657695,-0.44310702612991376,-0.11626056665422901,0.22498126814511127,0.5866208888558291,,"[[26, 6], [22, 9]]",6,market_only,random_forest,7,0.48813131313131314,0.5396825396825397,0.5299897272494065,0.060606060606059164
63,0.4979838709677419,0.4444444444444444,0.4495967741935484,0.46153846153846156,0.7741935483870968,0.5783132530120482,,0.8253968253968254,-0.007402302267003262,-3.968810896093245,-0.3879664342616418,0.8432484733517736,0.9732627150258312,,"[[4, 28], [7, 24]]",6,market_only,svm_linear,7,0.4618686868686869,0.5,0.011342777394775794,0.042424242424240255
63,0.5,0.3968253968253968,0.5,0.0,0.0,0.0,0.6031746031746031,0.0,0.0,,0.0,0.9615370831951954,,,"[[25, 0], [38, 0]]",7,market_only,majority_class,7,0.5,0.5317460317460317,,
63,0.46736842105263154,0.5396825396825397,0.4747368421052632,0.5882352941176471,0.7894736842105263,0.6741573033707865,0.26435382222399156,0.8095238095238095,0.006863605988795446,4.607735926698064,-0.06394393932599629,0.3073275078827309,0.012857122368175392,,"[[4, 21], [8, 30]]",7,market_only,logistic_regression,7,0.4148747786491273,0.4603174603174603,0.42951515565198434,-0.02302049076650803
63,0.5221052631578947,0.5079365079365079,0.5373684210526316,0.6521739130434783,0.39473684210526316,0.4918032786885246,0.2575060905216956,0.36507936507936506,0.00601487067655465,5.155324820960786,-0.036777910919911005,0.5,0.006507653559508592,,"[[17, 8], [23, 15]]",7,market_only,random_forest,7,0.5527447508221603,0.5634920634920635,0.49373568947645136,0.15886668353149092
63,0.4936842105263157,0.4126984126984127,0.5131578947368421,1.0,0.02631578947368421,0.05128205128205128,,0.015873015873015872,0.0013396324791646603,2.0160645150967413,0.0,0.9350410384887238,0.16059874123158413,,"[[25, 0], [37, 1]]",7,market_only,svm_linear,7,0.45484442195800656,0.5158730158730159,0.8012132954139175,-0.005565393372122779
63,0.5,0.49206349206349204,0.5,0.0,0.0,0.0,0.5079365079365079,0.0,0.0,,0.0,0.5993467537479669,,,"[[31, 0], [32, 0]]",8,market_only,majority_class,7,0.5,0.4523809523809524,,
